edge_id,src,dst,length_km,speed_limit_kmh,is_two_way
E0,A00_S000,A01_S000,0.0244,55,true
E1,A00_S000,A00_S001,1.2353,35,true
E2,A01_S000,A02_S000,0.0245,45,true
E3,A01_S000,A01_S001,1.2353,35,true
E4,A02_S000,A03_S000,0.0244,45,true
E5,A02_S000,A02_S001,1.2353,35,true
E6,A03_S000,A04_S000,0.0245,45,true
E7,A03_S000,A03_S001,1.2353,35,true
E8,A04_S000,A05_S000,0.0244,45,true
E9,A04_S000,A04_S001,1.2353,35,true
E10,A05_S000,A06_S000,0.0245,45,true
E11,A05_S000,A05_S001,1.2353,35,true
E12,A06_S000,A07_S000,0.0244,45,true
E13,A06_S000,A06_S001,1.2353,35,true
E14,A07_S000,A08_S000,0.0245,45,true
E15,A07_S000,A07_S001,1.2353,35,true
E16,A08_S000,A09_S000,0.0244,45,true
E17,A08_S000,A08_S001,1.2353,35,true
E18,A09_S000,A09_S001,1.2353,35,true
E19,A00_S001,A01_S001,0.1191,55,true
E20,A00_S001,A00_S002,1.2353,35,true
E21,A01_S001,A02_S001,0.1191,45,true
E22,A01_S001,A01_S002,1.2353,35,true
E23,A02_S001,A03_S001,0.1191,45,true
E24,A02_S001,A02_S002,1.2353,35,true
E25,A03_S001,A04_S001,0.1191,45,true
E26,A03_S001,A03_S002,1.2353,35,true
E27,A04_S001,A05_S001,0.119,45,true
E28,A04_S001,A04_S002,1.2353,35,true
E29,A05_S001,A06_S001,0.1191,45,true
E30,A05_S001,A05_S002,1.2353,35,true
E31,A06_S001,A07_S001,0.1191,45,true
E32,A06_S001,A06_S002,1.2353,35,true
E33,A07_S001,A08_S001,0.1191,45,true
E34,A07_S001,A07_S002,1.2353,35,true
E35,A08_S001,A09_S001,0.1191,45,true
E36,A08_S001,A08_S002,1.2353,35,true
E37,A09_S001,A09_S002,1.2353,35,true
E38,A00_S002,A01_S002,0.1497,55,true
E39,A00_S002,A00_S003,1.2353,35,true
E40,A01_S002,A02_S002,0.1497,45,true
E41,A01_S002,A01_S003,1.2353,35,true
E42,A02_S002,A03_S002,0.1496,45,true
E43,A02_S002,A02_S003,1.2353,35,true
E44,A03_S002,A04_S002,0.1497,45,true
E45,A03_S002,A03_S003,1.2353,35,true
E46,A04_S002,A05_S002,0.1497,45,true
E47,A04_S002,A04_S003,1.2353,35,true
E48,A05_S002,A06_S002,0.1496,45,true
E49,A05_S002,A05_S003,1.2353,35,true
E50,A06_S002,A07_S002,0.1497,45,true
E51,A06_S002,A06_S003,1.2353,35,true
E52,A07_S002,A08_S002,0.1497,45,true
E53,A07_S002,A07_S003,1.2353,35,true
E54,A08_S002,A09_S002,0.1496,45,true
E55,A08_S002,A08_S003,1.2353,35,true
E56,A09_S002,A09_S003,1.2353,35,true
E57,A00_S003,A01_S003,0.1626,55,true
E58,A00_S003,A00_S004,1.2353,40,true
E59,A01_S003,A02_S003,0.1627,45,true
E60,A01_S003,A01_S004,1.2353,40,true
E61,A02_S003,A03_S003,0.1626,45,true
E62,A02_S003,A02_S004,1.2353,40,true
E63,A03_S003,A04_S003,0.1627,45,true
E64,A03_S003,A03_S004,1.2353,40,true
E65,A04_S003,A05_S003,0.1626,45,true
E66,A04_S003,A04_S004,1.2353,40,true
E67,A05_S003,A06_S003,0.1627,45,true
E68,A05_S003,A05_S004,1.2353,40,true
E69,A06_S003,A07_S003,0.1626,45,true
E70,A06_S003,A06_S004,1.2353,40,true
E71,A07_S003,A08_S003,0.1627,45,true
E72,A07_S003,A07_S004,1.2353,40,true
E73,A08_S003,A09_S003,0.1626,45,true
E74,A08_S003,A08_S004,1.2353,40,true
E75,A09_S003,A09_S004,1.2353,40,true
E76,A00_S004,A01_S004,0.166,55,true
E77,A00_S004,A00_S005,1.2353,40,true
E78,A01_S004,A02_S004,0.166,45,true
E79,A01_S004,A01_S005,1.2353,40,true
E80,A02_S004,A03_S004,0.166,45,true
E81,A02_S004,A02_S005,1.2353,40,true
E82,A03_S004,A04_S004,0.166,45,true
E83,A03_S004,A03_S005,1.2353,40,true
E84,A04_S004,A05_S004,0.166,45,true
E85,A04_S004,A04_S005,1.2353,40,true
E86,A05_S004,A06_S004,0.166,45,true
E87,A05_S004,A05_S005,1.2353,40,true
E88,A06_S004,A07_S004,0.166,45,true
E89,A06_S004,A06_S005,1.2353,40,true
E90,A07_S004,A08_S004,0.166,45,true
E91,A07_S004,A07_S005,1.2353,40,true
E92,A08_S004,A09_S004,0.166,45,true
E93,A08_S004,A08_S005,1.2353,40,true
E94,A09_S004,A09_S005,1.2353,40,true
E95,A00_S005,A01_S005,0.1657,55,true
E96,A00_S005,A00_S006,1.2353,40,true
E97,A01_S005,A02_S005,0.1657,45,true
E98,A01_S005,A01_S006,1.2353,40,true
E99,A02_S005,A03_S005,0.1658,45,true
E100,A02_S005,A02_S006,1.2353,40,true
E101,A03_S005,A04_S005,0.1657,45,true
E102,A03_S005,A03_S006,1.2353,40,true
E103,A04_S005,A05_S005,0.1657,45,true
E104,A04_S005,A04_S006,1.2353,40,true
E105,A05_S005,A06_S005,0.1657,45,true
E106,A05_S005,A05_S006,1.2353,40,true
E107,A06_S005,A07_S005,0.1658,45,true
E108,A06_S005,A06_S006,1.2353,40,true
E109,A07_S005,A08_S005,0.1657,45,true
E110,A07_S005,A07_S006,1.2353,40,true
E111,A08_S005,A09_S005,0.1657,45,true
E112,A08_S005,A08_S006,1.2353,40,true
E113,A09_S005,A09_S006,1.2353,40,true
E114,A00_S006,A01_S006,0.1628,55,true
E115,A00_S006,A00_S007,1.2353,40,true
E116,A01_S006,A02_S006,0.1628,45,true
E117,A01_S006,A01_S007,1.2353,40,true
E118,A02_S006,A03_S006,0.1628,45,true
E119,A02_S006,A02_S007,1.2353,40,true
E120,A03_S006,A04_S006,0.1628,45,true
E121,A03_S006,A03_S007,1.2353,40,true
E122,A04_S006,A05_S006,0.1628,45,true
E123,A04_S006,A04_S007,1.2353,40,true
E124,A05_S006,A06_S006,0.1628,45,true
E125,A05_S006,A05_S007,1.2353,40,true
E126,A06_S006,A07_S006,0.1628,45,true
E127,A06_S006,A06_S007,1.2353,40,true
E128,A07_S006,A08_S006,0.1628,45,true
E129,A07_S006,A07_S007,1.2353,40,true
E130,A08_S006,A09_S006,0.1628,45,true
E131,A08_S006,A08_S007,1.2353,40,true
E132,A09_S006,A09_S007,1.2353,40,true
E133,A00_S007,A01_S007,0.1589,55,true
E134,A00_S007,A00_S008,1.2353,40,true
E135,A01_S007,A02_S007,0.1589,45,true
E136,A01_S007,A01_S008,1.2353,40,true
E137,A02_S007,A03_S007,0.1588,45,true
E138,A02_S007,A02_S008,1.2353,40,true
E139,A03_S007,A04_S007,0.1589,45,true
E140,A03_S007,A03_S008,1.2353,40,true
E141,A04_S007,A05_S007,0.1589,45,true
E142,A04_S007,A04_S008,1.2353,40,true
E143,A05_S007,A06_S007,0.1589,45,true
E144,A05_S007,A05_S008,1.2353,40,true
E145,A06_S007,A07_S007,0.1589,45,true
E146,A06_S007,A06_S008,1.2353,40,true
E147,A07_S007,A08_S007,0.1589,45,true
E148,A07_S007,A07_S008,1.2353,40,true
E149,A08_S007,A09_S007,0.1588,45,true
E150,A08_S007,A08_S008,1.2353,40,true
E151,A09_S007,A09_S008,1.2353,40,true
E152,A00_S008,A01_S008,0.1527,55,true
E153,A00_S008,A00_S009,1.2352,40,true
E154,A01_S008,A02_S008,0.1528,45,true
E155,A01_S008,A01_S009,1.2352,40,true
E156,A02_S008,A03_S008,0.1527,45,true
E157,A02_S008,A02_S009,1.2352,40,true
E158,A03_S008,A04_S008,0.1527,45,true
E159,A03_S008,A03_S009,1.2352,40,true
E160,A04_S008,A05_S008,0.1527,45,true
E161,A04_S008,A04_S009,1.2352,40,true
E162,A05_S008,A06_S008,0.1527,45,true
E163,A05_S008,A05_S009,1.2352,40,true
E164,A06_S008,A07_S008,0.1527,45,true
E165,A06_S008,A06_S009,1.2352,40,true
E166,A07_S008,A08_S008,0.1527,45,true
E167,A07_S008,A07_S009,1.2352,40,true
E168,A08_S008,A09_S008,0.1527,45,true
E169,A08_S008,A08_S009,1.2352,40,true
E170,A09_S008,A09_S009,1.2352,40,true
E171,A00_S009,A01_S009,0.1459,55,true
E172,A00_S009,A00_S010,1.2353,40,true
E173,A01_S009,A02_S009,0.1458,45,true
E174,A01_S009,A01_S010,1.2353,40,true
E175,A02_S009,A03_S009,0.1459,45,true
E176,A02_S009,A02_S010,1.2353,40,true
E177,A03_S009,A04_S009,0.1458,45,true
E178,A03_S009,A03_S010,1.2353,40,true
E179,A04_S009,A05_S009,0.1459,45,true
E180,A04_S009,A04_S010,1.2353,40,true
E181,A05_S009,A06_S009,0.1458,45,true
E182,A05_S009,A05_S010,1.2353,40,true
E183,A06_S009,A07_S009,0.1459,45,true
E184,A06_S009,A06_S010,1.2353,40,true
E185,A07_S009,A08_S009,0.1458,45,true
E186,A07_S009,A07_S010,1.2353,40,true
E187,A08_S009,A09_S009,0.1459,45,true
E188,A08_S009,A08_S010,1.2353,40,true
E189,A09_S009,A09_S010,1.2353,40,true
E190,A00_S010,A01_S010,0.1391,55,true
E191,A00_S010,A00_S011,1.2353,40,true
E192,A01_S010,A02_S010,0.1391,45,true
E193,A01_S010,A01_S011,1.2353,40,true
E194,A02_S010,A03_S010,0.1391,45,true
E195,A02_S010,A02_S011,1.2353,40,true
E196,A03_S010,A04_S010,0.1391,45,true
E197,A03_S010,A03_S011,1.2353,40,true
E198,A04_S010,A05_S010,0.139,45,true
E199,A04_S010,A04_S011,1.2353,40,true
E200,A05_S010,A06_S010,0.1391,45,true
