edge_id,src,dst,length_km,speed_limit_kmh,is_two_way
E0,A00_S000,A01_S000,0.2243,55,true
E1,A00_S000,A00_S001,0.0982,42,true
E2,A01_S000,A02_S000,0.2242,45,true
E3,A01_S000,A01_S001,0.0982,42,true
E4,A02_S000,A03_S000,0.2242,45,true
E5,A02_S000,A02_S001,0.0982,42,true
E6,A03_S000,A04_S000,0.2242,45,true
E7,A03_S000,A03_S001,0.0982,42,true
E8,A04_S000,A05_S000,0.2243,45,true
E9,A04_S000,A04_S001,0.0982,42,true
E10,A05_S000,A06_S000,0.2242,45,true
E11,A05_S000,A05_S001,0.0982,42,true
E12,A06_S000,A07_S000,0.2242,45,true
E13,A06_S000,A06_S001,0.0982,42,true
E14,A07_S000,A08_S000,0.2242,45,true
E15,A07_S000,A07_S001,0.0982,42,true
E16,A08_S000,A09_S000,0.2243,45,true
E17,A08_S000,A08_S001,0.0982,42,true
E18,A09_S000,A10_S000,0.2242,45,true
E19,A09_S000,A09_S001,0.0982,42,true
E20,A10_S000,A11_S000,0.2242,45,true
E21,A10_S000,A10_S001,0.0982,42,true
E22,A11_S000,A12_S000,0.2242,45,true
E23,A11_S000,A11_S001,0.0982,42,true
E24,A12_S000,A13_S000,0.2242,45,true
E25,A12_S000,A12_S001,0.0982,42,true
E26,A13_S000,A14_S000,0.2243,45,true
E27,A13_S000,A13_S001,0.0982,42,true
E28,A14_S000,A15_S000,0.2242,45,true
E29,A14_S000,A14_S001,0.0982,42,true
E30,A15_S000,A16_S000,0.2242,45,true
E31,A15_S000,A15_S001,0.0982,42,true
E32,A16_S000,A17_S000,0.2242,45,true
E33,A16_S000,A16_S001,0.0982,42,true
E34,A17_S000,A18_S000,0.2243,45,true
E35,A17_S000,A17_S001,0.0982,42,true
E36,A18_S000,A19_S000,0.2242,45,true
E37,A18_S000,A18_S001,0.0982,42,true
E38,A19_S000,A20_S000,0.2242,45,true
E39,A19_S000,A19_S001,0.0982,42,true
E40,A20_S000,A21_S000,0.2242,45,true
E41,A20_S000,A20_S001,0.0982,42,true
E42,A21_S000,A22_S000,0.2243,45,true
E43,A21_S000,A21_S001,0.0982,42,true
E44,A22_S000,A23_S000,0.2242,45,true
E45,A22_S000,A22_S001,0.0982,42,true
E46,A23_S000,A24_S000,0.2242,45,true
E47,A23_S000,A23_S001,0.0982,42,true
E48,A24_S000,A25_S000,0.2242,45,true
E49,A24_S000,A24_S001,0.0982,42,true
E50,A25_S000,A26_S000,0.2242,45,true
E51,A25_S000,A25_S001,0.0982,42,true
E52,A26_S000,A27_S000,0.2243,45,true
E53,A26_S000,A26_S001,0.0982,42,true
E54,A27_S000,A28_S000,0.2242,45,true
E55,A27_S000,A27_S001,0.0982,42,true
E56,A28_S000,A29_S000,0.2242,45,true
E57,A28_S000,A28_S001,0.0982,42,true
E58,A29_S000,A30_S000,0.2242,45,true
E59,A29_S000,A29_S001,0.0982,42,true
E60,A30_S000,A31_S000,0.2243,45,true
E61,A30_S000,A30_S001,0.0982,42,true
E62,A31_S000,A31_S001,0.0982,42,true
E63,A00_S001,A01_S001,0.2246,55,true
E64,A00_S001,A00_S002,0.0982,42,true
E65,A01_S001,A02_S001,0.2245,45,true
E66,A01_S001,A01_S002,0.0982,42,true
E67,A02_S001,A03_S001,0.2245,45,true
E68,A02_S001,A02_S002,0.0982,42,true
E69,A03_S001,A04_S001,0.2246,45,true
E70,A03_S001,A03_S002,0.0982,42,true
E71,A04_S001,A05_S001,0.2245,45,true
E72,A04_S001,A04_S002,0.0982,42,true
E73,A05_S001,A06_S001,0.2246,45,true
E74,A05_S001,A05_S002,0.0982,42,true
E75,A06_S001,A07_S001,0.2245,45,true
E76,A06_S001,A06_S002,0.0982,42,true
E77,A07_S001,A08_S001,0.2245,45,true
E78,A07_S001,A07_S002,0.0982,42,true
E79,A08_S001,A09_S001,0.2246,45,true
E80,A08_S001,A08_S002,0.0982,42,true
E81,A09_S001,A10_S001,0.2245,45,true
E82,A09_S001,A09_S002,0.0982,42,true
E83,A10_S001,A11_S001,0.2246,45,true
