node_id,x,y,is_charger,num_chargers,zone
A00_S000,-3.9602,0.0,true,14,manhattan
A01_S000,-3.777,0.0,false,0,manhattan
A02_S000,-3.5939,0.0,false,0,manhattan
A03_S000,-3.4107,0.0,false,0,manhattan
A04_S000,-3.2275,0.0,false,0,manhattan
A05_S000,-3.0444,0.0,false,0,manhattan
A06_S000,-2.8612,0.0,false,0,manhattan
A07_S000,-2.678,0.0,false,0,manhattan
A08_S000,-2.4949,0.0,false,0,manhattan
A09_S000,-2.3117,0.0,false,0,manhattan
A10_S000,-2.1285,0.0,false,0,manhattan
A11_S000,-1.9454,0.0,false,0,manhattan
A12_S000,-1.7622,0.0,false,0,manhattan
A13_S000,-1.579,0.0,false,0,manhattan
A14_S000,-1.3959,0.0,true,14,manhattan
A15_S000,-1.2127,0.0,false,0,manhattan
A16_S000,-1.0295,0.0,false,0,manhattan
A17_S000,-0.8464,0.0,false,0,manhattan
A18_S000,-0.6632,0.0,false,0,manhattan
A19_S000,-0.4801,0.0,false,0,manhattan
A20_S000,-0.2969,0.0,false,0,manhattan
A21_S000,-0.1137,0.0,false,0,manhattan
A22_S000,0.0694,0.0,false,0,manhattan
A23_S000,0.2526,0.0,false,0,manhattan
A24_S000,0.4358,0.0,false,0,manhattan
A25_S000,0.6189,0.0,false,0,manhattan
A26_S000,0.8021,0.0,false,0,manhattan
A27_S000,0.9853,0.0,true,14,manhattan
A00_S001,-3.9602,0.1173,false,0,manhattan
A01_S001,-3.777,0.1173,false,0,manhattan
A02_S001,-3.5939,0.1173,false,0,manhattan
A03_S001,-3.4107,0.1173,false,0,manhattan
A04_S001,-3.2275,0.1173,false,0,manhattan
A05_S001,-3.0444,0.1173,false,0,manhattan
A06_S001,-2.8612,0.1173,false,0,manhattan
A07_S001,-2.678,0.1173,false,0,manhattan
A08_S001,-2.4949,0.1173,false,0,manhattan
A09_S001,-2.3117,0.1173,false,0,manhattan
A10_S001,-2.1285,0.1173,false,0,manhattan
A11_S001,-1.9454,0.1173,false,0,manhattan
A12_S001,-1.7622,0.1173,false,0,manhattan
A13_S001,-1.579,0.1173,false,0,manhattan
A14_S001,-1.3959,0.1173,false,0,manhattan
A15_S001,-1.2127,0.1173,false,0,manhattan
A16_S001,-1.0295,0.1173,false,0,manhattan
A17_S001,-0.8464,0.1173,false,0,manhattan
A18_S001,-0.6632,0.1173,false,0,manhattan
A19_S001,-0.4801,0.1173,false,0,manhattan
A20_S001,-0.2969,0.1173,false,0,manhattan
A21_S001,-0.1137,0.1173,false,0,manhattan
A22_S001,0.0694,0.1173,false,0,manhattan
A23_S001,0.2526,0.1173,false,0,manhattan
A24_S001,0.4358,0.1173,false,0,manhattan
A25_S001,0.6189,0.1173,false,0,manhattan
A26_S001,0.8021,0.1173,false,0,manhattan
A27_S001,0.9853,0.1173,false,0,manhattan
A00_S002,-3.9602,0.2346,false,0,manhattan
A01_S002,-3.777,0.2346,false,0,manhattan
A02_S002,-3.5939,0.2346,false,0,manhattan
A03_S002,-3.4107,0.2346,false,0,manhattan
A04_S002,-3.2275,0.2346,false,0,manhattan
A05_S002,-3.0444,0.2346,false,0,manhattan
A06_S002,-2.8612,0.2346,false,0,manhattan
A07_S002,-2.678,0.2346,false,0,manhattan
A08_S002,-2.4949,0.2346,false,0,manhattan
A09_S002,-2.3117,0.2346,false,0,manhattan
A10_S002,-2.1285,0.2346,false,0,manhattan
A11_S002,-1.9454,0.2346,false,0,manhattan
A12_S002,-1.7622,0.2346,false,0,manhattan
A13_S002,-1.579,0.2346,false,0,manhattan
A14_S002,-1.3959,0.2346,false,0,manhattan
A15_S002,-1.2127,0.2346,false,0,manhattan
A16_S002,-1.0295,0.2346,false,0,manhattan
A17_S002,-0.8464,0.2346,false,0,manhattan
A18_S002,-0.6632,0.2346,false,0,manhattan
A19_S002,-0.4801,0.2346,false,0,manhattan
A20_S002,-0.2969,0.2346,false,0,manhattan
A21_S002,-0.1137,0.2346,false,0,manhattan
A22_S002,0.0694,0.2346,false,0,manhattan
A23_S002,0.2526,0.2346,false,0,manhattan
A24_S002,0.4358,0.2346,false,0,manhattan
A25_S002,0.6189,0.2346,false,0,manhattan
A26_S002,0.8021,0.2346,false,0,manhattan
A27_S002,0.9853,0.2346,false,0,manhattan
A00_S003,-3.9602,0.352,false,0,manhattan
A01_S003,-3.777,0.352,false,0,manhattan
A02_S003,-3.5939,0.352,false,0,manhattan
A03_S003,-3.4107,0.352,false,0,manhattan
A04_S003,-3.2275,0.352,false,0,manhattan
A05_S003,-3.0444,0.352,false,0,manhattan
A06_S003,-2.8612,0.352,false,0,manhattan
A07_S003,-2.678,0.352,false,0,manhattan
A08_S003,-2.4949,0.352,false,0,manhattan
A09_S003,-2.3117,0.352,false,0,manhattan
A10_S003,-2.1285,0.352,false,0,manhattan
A11_S003,-1.9454,0.352,false,0,manhattan
A12_S003,-1.7622,0.352,false,0,manhattan
A13_S003,-1.579,0.352,false,0,manhattan
A14_S003,-1.3959,0.352,false,0,manhattan
A15_S003,-1.2127,0.352,false,0,manhattan
A16_S003,-1.0295,0.352,false,0,manhattan
A17_S003,-0.8464,0.352,false,0,manhattan
A18_S003,-0.6632,0.352,false,0,manhattan
A19_S003,-0.4801,0.352,false,0,manhattan
A20_S003,-0.2969,0.352,false,0,manhattan
A21_S003,-0.1137,0.352,false,0,manhattan
A22_S003,0.0694,0.352,false,0,manhattan
A23_S003,0.2526,0.352,false,0,manhattan
A24_S003,0.4358,0.352,false,0,manhattan
A25_S003,0.6189,0.352,false,0,manhattan
A26_S003,0.8021,0.352,false,0,manhattan
A27_S003,0.9853,0.352,false,0,manhattan
A00_S004,-3.9602,0.4693,false,0,manhattan
A01_S004,-3.777,0.4693,false,0,manhattan
A02_S004,-3.5939,0.4693,false,0,manhattan
A03_S004,-3.4107,0.4693,false,0,manhattan
A04_S004,-3.2275,0.4693,false,0,manhattan
A05_S004,-3.0444,0.4693,false,0,manhattan
A06_S004,-2.8612,0.4693,false,0,manhattan
A07_S004,-2.678,0.4693,false,0,manhattan
A08_S004,-2.4949,0.4693,false,0,manhattan
A09_S004,-2.3117,0.4693,false,0,manhattan
A10_S004,-2.1285,0.4693,false,0,manhattan
A11_S004,-1.9454,0.4693,false,0,manhattan
A12_S004,-1.7622,0.4693,false,0,manhattan
A13_S004,-1.579,0.4693,false,0,manhattan
A14_S004,-1.3959,0.4693,false,0,manhattan
A15_S004,-1.2127,0.4693,false,0,manhattan
A16_S004,-1.0295,0.4693,false,0,manhattan
A17_S004,-0.8464,0.4693,false,0,manhattan
A18_S004,-0.6632,0.4693,false,0,manhattan
A19_S004,-0.4801,0.4693,false,0,manhattan
A20_S004,-0.2969,0.4693,false,0,manhattan
A21_S004,-0.1137,0.4693,false,0,manhattan
A22_S004,0.0694,0.4693,false,0,manhattan
A23_S004,0.2526,0.4693,false,0,manhattan
A24_S004,0.4358,0.4693,false,0,manhattan
A25_S004,0.6189,0.4693,false,0,manhattan
A26_S004,0.8021,0.4693,false,0,manhattan
A27_S004,0.9853,0.4693,false,0,manhattan
A00_S005,-3.9602,0.5866,false,0,manhattan
A01_S005,-3.777,0.5866,false,0,manhattan
A02_S005,-3.5939,0.5866,false,0,manhattan
A03_S005,-3.4107,0.5866,false,0,manhattan
A04_S005,-3.2275,0.5866,false,0,manhattan
A05_S005,-3.0444,0.5866,false,0,manhattan
A06_S005,-2.8612,0.5866,false,0,manhattan
A07_S005,-2.678,0.5866,false,0,manhattan
A08_S005,-2.4949,0.5866,false,0,manhattan
A09_S005,-2.3117,0.5866,false,0,manhattan
A10_S005,-2.1285,0.5866,false,0,manhattan
A11_S005,-1.9454,0.5866,false,0,manhattan
A12_S005,-1.7622,0.5866,false,0,manhattan
A13_S005,-1.579,0.5866,false,0,manhattan
A14_S005,-1.3959,0.5866,false,0,manhattan
A15_S005,-1.2127,0.5866,false,0,manhattan
A16_S005,-1.0295,0.5866,false,0,manhattan
A17_S005,-0.8464,0.5866,false,0,manhattan
A18_S005,-0.6632,0.5866,false,0,manhattan
A19_S005,-0.4801,0.5866,false,0,manhattan
A20_S005,-0.2969,0.5866,false,0,manhattan
A21_S005,-0.1137,0.5866,false,0,manhattan
A22_S005,0.0694,0.5866,false,0,manhattan
A23_S005,0.2526,0.5866,false,0,manhattan
A24_S005,0.4358,0.5866,false,0,manhattan
A25_S005,0.6189,0.5866,false,0,manhattan
A26_S005,0.8021,0.5866,false,0,manhattan
A27_S005,0.9853,0.5866,false,0,manhattan
A00_S006,-3.7538,0.7039,false,0,manhattan
A01_S006,-3.5783,0.7039,false,0,manhattan
A02_S006,-3.4027,0.7039,false,0,manhattan
A03_S006,-3.2272,0.7039,false,0,manhattan
A04_S006,-3.0517,0.7039,false,0,manhattan
A05_S006,-2.8762,0.7039,false,0,manhattan
A06_S006,-2.7007,0.7039,false,0,manhattan
A07_S006,-2.5251,0.7039,false,0,manhattan
A08_S006,-2.3496,0.7039,false,0,manhattan
A09_S006,-2.1741,0.7039,false,0,manhattan
A10_S006,-1.9986,0.7039,false,0,manhattan
A11_S006,-1.8231,0.7039,false,0,manhattan
A12_S006,-1.6475,0.7039,false,0,manhattan
A13_S006,-1.472,0.7039,false,0,manhattan
A14_S006,-1.2965,0.7039,false,0,manhattan
A15_S006,-1.121,0.7039,false,0,manhattan
A16_S006,-0.9455,0.7039,false,0,manhattan
A17_S006,-0.7699,0.7039,false,0,manhattan
A18_S006,-0.5944,0.7039,false,0,manhattan
A19_S006,-0.4189,0.7039,false,0,manhattan
A20_S006,-0.2434,0.7039,false,0,manhattan
