edge_id,src,dst,length_km,speed_limit_kmh,is_two_way
E0,S000_W_HWY,S001_W_HWY,0.1657,55.0,true
E1,S001_W_HWY,S000_W_HWY,0.1657,55.0,true
E2,S000_E_HWY,S001_E_HWY,0.1653,55.0,true
E3,S001_E_HWY,S000_E_HWY,0.1653,55.0,true
E4,S001_W_HWY,S002_W_HWY,0.14,55.0,true
E5,S002_W_HWY,S001_W_HWY,0.14,55.0,true
E6,S001_E_HWY,S002_E_HWY,0.1398,55.0,true
E7,S002_E_HWY,S001_E_HWY,0.1398,55.0,true
E8,S002_W_HWY,S003_W_HWY,0.1332,55.0,true
E9,S003_W_HWY,S002_W_HWY,0.1332,55.0,true
E10,S002_E_HWY,S003_E_HWY,0.133,55.0,true
E11,S003_E_HWY,S002_E_HWY,0.133,55.0,true
E12,S003_W_HWY,S004_W_HWY,0.1294,55.0,true
E13,S004_W_HWY,S003_W_HWY,0.1294,55.0,true
E14,S003_E_HWY,S004_E_HWY,0.1291,55.0,true
E15,S004_E_HWY,S003_E_HWY,0.1291,55.0,true
E16,S004_W_HWY,S005_W_HWY,0.1267,55.0,true
E17,S005_W_HWY,S004_W_HWY,0.1267,55.0,true
E18,S004_BWAY,S005_BWAY,0.1247,38.0,true
E19,S005_BWAY,S004_BWAY,0.1247,38.0,true
E20,S004_E_HWY,S005_E_HWY,0.1265,55.0,true
E21,S005_E_HWY,S004_E_HWY,0.1265,55.0,true
E22,S005_W_HWY,S006_W_HWY,0.1248,55.0,true
E23,S006_W_HWY,S005_W_HWY,0.1248,55.0,true
E24,S005_BWAY,S006_BWAY,0.1228,38.0,true
E25,S006_BWAY,S005_BWAY,0.1228,38.0,true
E26,S005_05AVE,S006_05AVE,0.1227,38.0,true
E27,S006_05AVE,S005_05AVE,0.1227,38.0,true
E28,S005_E_HWY,S006_E_HWY,0.1245,55.0,true
E29,S006_E_HWY,S005_E_HWY,0.1245,55.0,true
E30,S006_W_HWY,S007_W_HWY,0.1233,55.0,true
E31,S007_W_HWY,S006_W_HWY,0.1233,55.0,true
E32,S006_BWAY,S007_BWAY,0.1213,38.0,true
E33,S007_BWAY,S006_BWAY,0.1213,38.0,true
E34,S006_05AVE,S007_05AVE,0.1212,38.0,true
E35,S007_05AVE,S006_05AVE,0.1212,38.0,true
E36,S006_E_HWY,S007_E_HWY,0.123,55.0,true
E37,S007_E_HWY,S006_E_HWY,0.123,55.0,true
E38,S007_W_HWY,S008_W_HWY,0.1222,55.0,true
E39,S008_W_HWY,S007_W_HWY,0.1222,55.0,true
E40,S007_BWAY,S008_BWAY,0.1202,38.0,true
E41,S008_BWAY,S007_BWAY,0.1202,38.0,true
E42,S007_05AVE,S008_05AVE,0.1201,38.0,true
E43,S008_05AVE,S007_05AVE,0.1201,38.0,true
E44,S007_E_HWY,S008_E_HWY,0.1219,55.0,true
E45,S008_E_HWY,S007_E_HWY,0.1219,55.0,true
E46,S008_W_HWY,S009_W_HWY,0.1227,55.0,true
E47,S009_W_HWY,S008_W_HWY,0.1227,55.0,true
E48,S008_BWAY,S009_BWAY,0.1195,38.0,true
E49,S009_BWAY,S008_BWAY,0.1195,38.0,true
E50,S008_05AVE,S009_05AVE,0.1192,38.0,true
E51,S009_05AVE,S008_05AVE,0.1192,38.0,true
E52,S008_E_HWY,S009_E_HWY,0.121,55.0,true
E53,S009_E_HWY,S008_E_HWY,0.121,55.0,true
E54,S009_W_HWY,S010_W_HWY,0.1224,55.0,true
E55,S010_W_HWY,S009_W_HWY,0.1224,55.0,true
E56,S009_BWAY,S010_BWAY,0.1187,38.0,true
E57,S010_BWAY,S009_BWAY,0.1187,38.0,true
E58,S009_06AVE,S010_06AVE,0.1186,38.0,true
E59,S010_06AVE,S009_06AVE,0.1186,38.0,true
E60,S009_05AVE,S010_05AVE,0.1184,38.0,true
E61,S010_05AVE,S009_05AVE,0.1184,38.0,true
E62,S009_E_HWY,S010_E_HWY,0.1201,55.0,true
E63,S010_E_HWY,S009_E_HWY,0.1201,55.0,true
E64,S010_W_HWY,S011_W_HWY,0.1217,55.0,true
E65,S011_W_HWY,S010_W_HWY,0.1217,55.0,true
E66,S010_BWAY,S011_BWAY,0.1181,38.0,true
E67,S011_BWAY,S010_BWAY,0.1181,38.0,true
E68,S010_06AVE,S011_06AVE,0.118,38.0,true
E69,S011_06AVE,S010_06AVE,0.118,38.0,true
E70,S010_05AVE,S011_05AVE,0.1178,38.0,true
E71,S011_05AVE,S010_05AVE,0.1178,38.0,true
E72,S010_E_HWY,S011_E_HWY,0.1195,55.0,true
E73,S011_E_HWY,S010_E_HWY,0.1195,55.0,true
E74,S011_W_HWY,S012_W_HWY,0.121,55.0,true
E75,S012_W_HWY,S011_W_HWY,0.121,55.0,true
E76,S011_07AVE,S012_07AVE,0.1176,38.0,true
E77,S012_07AVE,S011_07AVE,0.1176,38.0,true
E78,S011_BWAY,S012_BWAY,0.1174,38.0,true
E79,S012_BWAY,S011_BWAY,0.1174,38.0,true
E80,S011_06AVE,S012_06AVE,0.1173,38.0,true
E81,S012_06AVE,S011_06AVE,0.1173,38.0,true
E82,S011_05AVE,S012_05AVE,0.1171,38.0,true
E83,S012_05AVE,S011_05AVE,0.1171,38.0,true
E84,S011_E_HWY,S012_E_HWY,0.1187,55.0,true
E85,S012_E_HWY,S011_E_HWY,0.1187,55.0,true
E86,S012_W_HWY,S013_W_HWY,0.1206,55.0,true
E87,S013_W_HWY,S012_W_HWY,0.1206,55.0,true
E88,S012_07AVE,S013_07AVE,0.1172,38.0,true
E89,S013_07AVE,S012_07AVE,0.1172,38.0,true
E90,S012_BWAY,S013_BWAY,0.117,38.0,true
E91,S013_BWAY,S012_BWAY,0.117,38.0,true
E92,S012_06AVE,S013_06AVE,0.1169,38.0,true
E93,S013_06AVE,S012_06AVE,0.1169,38.0,true
E94,S012_05AVE,S013_05AVE,0.1167,38.0,true
E95,S013_05AVE,S012_05AVE,0.1167,38.0,true
E96,S012_E_HWY,S013_E_HWY,0.1184,55.0,true
E97,S013_E_HWY,S012_E_HWY,0.1184,55.0,true
E98,S013_W_HWY,S014_W_HWY,0.1202,55.0,true
E99,S014_W_HWY,S013_W_HWY,0.1202,55.0,true
E100,S013_07AVE,S014_07AVE,0.1167,38.0,true
E101,S014_07AVE,S013_07AVE,0.1167,38.0,true
E102,S013_BWAY,S014_BWAY,0.1165,38.0,true
E103,S014_BWAY,S013_BWAY,0.1165,38.0,true
E104,S013_06AVE,S014_06AVE,0.1164,38.0,true
E105,S014_06AVE,S013_06AVE,0.1164,38.0,true
E106,S013_05AVE,S014_05AVE,0.1162,38.0,true
E107,S014_05AVE,S013_05AVE,0.1162,38.0,true
E108,S013_E_HWY,S014_E_HWY,0.1185,55.0,true
E109,S014_E_HWY,S013_E_HWY,0.1185,55.0,true
E110,S014_W_HWY,S015_W_HWY,0.1197,55.0,true
E111,S015_W_HWY,S014_W_HWY,0.1197,55.0,true
